,primary_isbn10,title,author,publisher,weeks_on_list
1812,,BENDER,Stacy Borel,Stacy Borel,0
1813,991379640,THE FIXED TRILOGY,Laurelin Paige,Laurelin Paige,0
1814,None,SHADOW SPELL,Nora Roberts,Berkley,0
1815,62124285,FLIGHT BEHAVIOR,Barbara Kingsolver,HarperCollins Publishers,0
1816,None,CARNAL CURIOSITY,Stuart Woods,Putnam,0
1817,None,NIGHT AFTER NIGHT,Lauren Blakely,Lauren Blakely,0
1818,None,FIGHTING TO FORGET,JB Salsbury,J.B. Salsbury,0
1819,1480441929,THE HANGING JUDGE,Michael Ponsor,Open Road Media,0
1820,None,THEIR VIRGIN SECRETARY,Shayla Black and Lexi Blake,Black Oak Books,0
1821,743298543,THE BOLEYN INHERITANCE,Philippa Gregory,Touchstone,0
1822,,THE KING,J R Ward,New American Library,0
1823,990317005,REASONABLE DOUBT,Whitney Gracia Williams,WGW,0
1824,802192505,BY ITS COVER,Donna Leon,Atlantic Monthly Press,0
1825,62279408,WARRIORS,Ted Bell,Morrow,0
1826,None,POWER PLAY,Danielle Steel,Delacorte,0
1827,1466841680,DESTROYER ANGEL,Nevada Barr,Minotaur,0
1828,None,PLAY,Kylie Scott,St. Martin's Griffin,0
1829,1460328639,DASH OF PERIL,Lori Foster,Harlequin HQN,0
1830,,WAITING ON YOU,Kristan Higgins,Harlequin HQN,0
1831,None,THE RETURN OF RAFE MACKADE,Nora Roberts,Silhouette,0
1832,,THE AUSCHWITZ ESCAPE,Joel C Rosenberg,Tyndale,0
1833,None,FERAL HEAT,Jennifer Ashley,InterMix,0
1834,1455557285,BULLSEYE,David Baldacci,Grand Central Publishing,0
1835,,NIGHT BROKEN,Patricia Briggs,Ace,0
1836,698140737,THE BOOTLEGGER,Clive Cussler and Justin Scott,Putnam,0
1837,None,THE CHANCE,Ron Carr,Harlequin Mira,0
1838,812995759,STILL LIFE WITH BREAD CRUMBS,Anna Quindlen,Random House,0
1839,None,"FATED MATES, THE ALPHA SHIFTER BOXED SET",Skye Eagleday,Excessica,0
1840,None,CONCEALED IN DEATH,J D Robb,Putnam,0
1841,None,LUCKY 7 BAD BOYS CONTEMPORARY ROMANCE BOXED SET,Tawny Weber,Tawny Weber,0
1842,None,TOXIC,Rachel Van Dyken,Rachel Van Dyken,0
1843,None,DEADLY DOZEN,"Diane Capri, J Carson Black and others",Steel Magnolia Press,0
1844,,BONE DEEP,Randy Wayne White,Putnam,0
1845,None,RARE AND PRECIOUS THINGS,Raine Miller,Raine Miller,0
1846,62267914,HARD AS YOU CAN,Laura Kaye,Avon,0
1847,1460327047,EVENING STARS,Susan Mallery,Harlequin Mira,0
1848,None,TOUCH AND GO,Lisa Gardner,Signet,0
1849,None,THE EX GAMES 2,JS Cooper and Helen Cooper,Helen Cooper,0
1850,547543867,WINTER'S TALE,Mark Helprin,Mariner,0
1851,None,THE EX GAMES 3,JS Cooper and Helen Cooper,Helen Cooper,0
1852,142996393X,ENDER'S GAME,Orson Scott Card,Tor/Tom Doherty,0
1853,316207020,FIRST LOVE,James Patterson and Emily Raymond,"Little, Brown",0
1854,None,STAKING HIS CLAIM,Tessa Bailey,Entangled: Brazen,0
1855,,MELTING THE ICE,Jaci Burton,Berkley,0
